id,name,brand,current_db_images,resolved_hardcoded_images,status
"2e3fd0bd-b4f1-4823-934b-cebbcceccda5","1-Year Extended Warranty Plan","","[""/Hero Images/Featured In section/MAIN  C ARD/MAIN 2.png""]","[""/Hero Images/Featured In section/MAIN  C ARD/MAIN 2.png""]","match"
"3c227b2b-e0df-4d55-9682-9f7243949bf1","Alliance Aqua Fixed Speed 12 000 BTU","Alliance","[""/Hero Images/Product category pictures/Alliance Aqua front.webp"",""/Hero Images/Product category pictures/Alliance Aqua back.webp"",""/Hero Images/Product category pictures/Alliance Aqua condenser.webp""]","[""/Hero Images/Product category pictures/Alliance Aqua front.webp"",""/Hero Images/Product category pictures/Alliance Aqua back.webp"",""/Hero Images/Product category pictures/Alliance Aqua condenser.webp""]","match"
"187c76d4-0ec3-423c-9a53-f967c5cd7387","Alliance Aqua Fixed Speed 18 000 BTU","Alliance","[""/Hero Images/Product category pictures/Alliance Aqua front.webp"",""/Hero Images/Product category pictures/Alliance Aqua back.webp"",""/Hero Images/Product category pictures/Alliance Aqua condenser.webp""]","[""/Hero Images/Product category pictures/Alliance Aqua front.webp"",""/Hero Images/Product category pictures/Alliance Aqua back.webp"",""/Hero Images/Product category pictures/Alliance Aqua condenser.webp""]","match"
"c7e8adc9-f971-4451-9f63-c81413ee1519","Alliance Aqua Fixed Speed 24 000 BTU","Alliance","[""/Hero Images/Product category pictures/Alliance Aqua front.webp"",""/Hero Images/Product category pictures/Alliance Aqua back.webp"",""/Hero Images/Product category pictures/Alliance Aqua condenser.webp""]","[""/Hero Images/Product category pictures/Alliance Aqua front.webp"",""/Hero Images/Product category pictures/Alliance Aqua back.webp"",""/Hero Images/Product category pictures/Alliance Aqua condenser.webp""]","match"
"7f522649-4ce0-4216-a20d-79767e43ad2d","Alliance Aqua Fixed Speed 9 000 BTU","Alliance","[""/Hero Images/Product category pictures/Alliance Aqua front.webp"",""/Hero Images/Product category pictures/Alliance Aqua back.webp"",""/Hero Images/Product category pictures/Alliance Aqua condenser.webp""]","[""/Hero Images/Product category pictures/Alliance Aqua front.webp"",""/Hero Images/Product category pictures/Alliance Aqua back.webp"",""/Hero Images/Product category pictures/Alliance Aqua condenser.webp""]","match"
"25571491-8b5f-40c6-9153-6cf03235eecc","Alliance Black Mirror Finish Pro Inverter 12 000 BTU","Alliance","[""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter front.webp"",""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter left.webp"",""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter middle.webp"",""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter Right.webp"",""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter tilt.webp""]","[""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter front.webp"",""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter left.webp"",""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter middle.webp"",""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter Right.webp"",""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter tilt.webp""]","match"
"0e13774b-43a7-464b-a847-399873b5d6d2","Alliance Black Mirror Finish Pro Inverter 18 000 BTU","Alliance","[""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter front.webp"",""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter left.webp"",""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter middle.webp"",""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter Right.webp"",""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter tilt.webp""]","[""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter front.webp"",""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter left.webp"",""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter middle.webp"",""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter Right.webp"",""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter tilt.webp""]","match"
"15056e36-17fa-4c3e-a6cd-d2656ddd6287","Alliance Black Mirror Finish Pro Inverter 24 000 BTU","Alliance","[""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter front.webp"",""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter left.webp"",""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter middle.webp"",""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter Right.webp"",""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter tilt.webp""]","[""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter front.webp"",""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter left.webp"",""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter middle.webp"",""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter Right.webp"",""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter tilt.webp""]","match"
"ce754bee-2519-43b3-a38a-d92d8d717e4e","Alliance Black Mirror Finish Pro Inverter 9 000 BTU","Alliance","[""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter front.webp"",""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter left.webp"",""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter middle.webp"",""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter Right.webp"",""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter tilt.webp""]","[""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter front.webp"",""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter left.webp"",""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter middle.webp"",""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter Right.webp"",""/Hero Images/Product category pictures/Alliance Black Mirror Finish Pro Inverter tilt.webp""]","match"
"aa66ed6c-3887-464d-815c-6ffa4c096930","Alliance Cassette Inverter 12 000 BTU","Alliance","[""/Hero Images/Product category pictures/Alliance Cassette Inverter.webp"",""/Hero Images/Product category pictures/Alliance Cassette Non-Inverter.webp""]","[""/Hero Images/Product category pictures/Alliance Cassette Inverter.webp"",""/Hero Images/Product category pictures/Alliance Cassette Non-Inverter.webp""]","match"
